Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m)
1696561225,1.6849315068493151,0.7123287671232876,0,1.18359,1.18359,0,0,0,0,650,110,0,362.28,362.28
1696561226,2.095890410958904,0.7397260273972602,0,1.48047,1.48047,2,2,0,0,656,122,0,40.84,40.84
1696561227,3.547945205479452,0.9726027397260274,0,2.58984,2.58984,5,5,13.625,0.18664383561643835,244,166,8,41.04,41.04
1696561228,3.5342465753424657,0.9726027397260274,0,2.625,2.625,7,7,13.875,0.19006849315068494,240,168,7.9,41.04,41.04
1696561229,3.493150684931507,0.9726027397260274,0,2.6875,2.6875,11,11,14.375,0.1969178082191781,232,170,7.9,41.07,41.07
1696561230,3.4246575342465753,0.958904109589041,0,2.72266,2.72266,13,13,14.625,0.20034246575342465,228,172,7.8,41.09,41.09
1696561231,3.2739726027397262,0.958904109589041,0.0136986301369863,2.76563,2.76563,17,17,14.75,0.20205479452054795,226,174,7.7,41.1,41.1
1696561232,3.232876712328767,0.958904109589041,0.0136986301369863,2.77734,2.77734,19,19,14.75,0.20205479452054795,226,174,7.6,41.1,41.1
1696561233,3.136986301369863,0.9452054794520548,0,2.8125,2.8125,23,23,14.75,0.20205479452054795,224,176,7.4,41.13,41.13
1696561234,3.0821917808219177,0.9452054794520548,0,2.82422,2.82422,25,25,14.625,0.20034246575342465,224,176,7.3,41.13,41.13
1696561235,3,0.9452054794520548,0,2.84375,2.84375,28,28,14.625,0.20034246575342465,224,178,7.1,41.11,41.11
1696561236,2.958904109589041,0.9315068493150684,0.0136986301369863,2.83203,2.83203,30,30,14.625,0.20034246575342465,226,178,7.1,41.1,41.1
1696561237,2.9863013698630136,0.9452054794520548,0.0136986301369863,2.84375,2.84375,34,34,14.75,0.20205479452054795,224,180,7.1,41.08,41.08
1696561238,2.958904109589041,0.9452054794520548,0.0136986301369863,2.84375,2.84375,36,36,14.875,0.20376712328767124,222,180,7.1,41.06,41.06
1696561239,2.9178082191780823,0.9315068493150684,0.0136986301369863,2.85156,2.85156,40,40,15,0.2054794520547945,222,180,7,41.01,41.01
1696561240,2.9315068493150687,0.9315068493150684,0.0136986301369863,2.86328,2.86328,42,42,14.875,0.20376712328767124,222,180,7,40.99,40.99
1696561241,2.9315068493150687,0.9315068493150684,0.0136986301369863,2.86328,2.86328,44,44,15.125,0.2071917808219178,220,180,7.1,40.97,40.97
1696561242,2.958904109589041,0.9315068493150684,0.0136986301369863,2.86328,2.86328,47,47,15.25,0.2089041095890411,218,180,7.1,40.93,40.93
1696561243,2.9452054794520546,0.9178082191780822,0.0136986301369863,2.84375,2.84375,51,51,15,0.2054794520547945,220,180,7,40.91,40.91
1696561244,2.9726027397260273,0.9178082191780822,0.0136986301369863,2.82813,2.82813,53,53,14.75,0.20205479452054795,222,178,7,40.91,40.91
